IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.2.53,4,4,0.00,187.02,0.00
104.23.102.55,4,4,0.00,187.05,0.00
104.27.200.148,4,4,0.00,187.07,0.00
104.25.19.149,4,4,0.00,187.11,0.00
172.67.48.149,4,4,0.00,187.11,0.00
104.27.47.33,4,4,0.00,187.21,0.00
104.24.142.23,4,4,0.00,187.26,0.00
172.65.148.77,4,4,0.00,187.28,0.00
172.67.12.174,4,4,0.00,187.43,0.00
172.66.156.150,4,4,0.00,187.49,0.00
104.25.152.173,4,4,0.00,187.52,0.00
172.66.152.87,4,4,0.00,187.63,0.00
104.24.51.108,4,4,0.00,187.71,0.00
104.24.21.112,4,4,0.00,187.74,0.00
104.24.41.57,4,4,0.00,187.87,0.00
104.27.56.134,4,4,0.00,188.03,0.00
104.18.137.35,4,4,0.00,188.06,0.00
104.24.20.79,4,4,0.00,188.10,0.00
104.27.36.83,4,4,0.00,188.23,0.00
172.65.167.244,4,4,0.00,188.28,0.00
104.24.95.135,4,4,0.00,188.28,0.00
104.25.105.35,4,4,0.00,188.36,0.00
172.65.72.186,4,4,0.00,188.38,0.00
104.25.88.14,4,4,0.00,188.47,0.00
104.19.148.75,4,4,0.00,188.64,0.00
104.20.239.187,4,4,0.00,188.70,0.00
104.20.255.135,4,4,0.00,188.74,0.00
104.22.28.120,4,4,0.00,188.82,0.00
104.27.13.169,4,4,0.00,188.87,0.00
104.25.18.22,4,4,0.00,188.93,0.00
172.67.22.151,4,4,0.00,188.94,0.00
104.24.137.178,4,4,0.00,188.96,0.00
104.16.144.249,4,4,0.00,188.99,0.00
104.18.108.126,4,4,0.00,189.20,0.00
104.24.179.134,4,4,0.00,189.22,0.00
104.18.155.148,4,4,0.00,189.23,0.00
172.65.62.235,4,4,0.00,189.32,0.00
172.65.70.101,4,4,0.00,189.66,0.00
104.25.255.40,4,4,0.00,189.69,0.00
172.66.158.235,4,4,0.00,189.76,0.00
104.21.113.93,4,4,0.00,189.90,0.00
172.67.94.33,4,4,0.00,190.01,0.00
104.27.97.199,4,4,0.00,190.08,0.00
104.27.123.91,4,4,0.00,190.11,0.00
104.27.98.102,4,4,0.00,190.22,0.00
162.159.128.101,4,4,0.00,190.38,0.00
104.27.32.121,4,4,0.00,190.44,0.00
162.159.152.213,4,4,0.00,190.47,0.00
104.25.117.222,4,4,0.00,190.69,0.00
104.16.87.232,4,4,0.00,190.79,0.00
172.65.103.187,4,4,0.00,190.80,0.00
104.25.222.191,4,4,0.00,190.80,0.00
104.24.19.86,4,4,0.00,191.02,0.00
104.16.11.128,4,4,0.00,191.16,0.00
104.24.254.225,4,4,0.00,191.34,0.00
104.18.252.191,4,4,0.00,191.34,0.00
